catname,catdesc,eventname,starttime,venuename,venuecity,venuestate,qtysold,pricepaid
Pop,All rock and pop music concerts,Oasis,2008-02-16 14:00:00,null,null,null,2,688
Plays,All non-musical theatre,The Cherry Orchard,2008-01-08 19:30:00,The Broadway Theatre,New York City,NY,5,525
Plays,All non-musical theatre,Our Town,2008-02-02 15:00:00,Lincoln Center for the Performing Arts,New York City,NY,2,482
Musicals,Musical theatre,Blue Man Group,2008-02-22 19:30:00,Mirage Hotel,Las Vegas,NV,2,158
Musicals,Musical theatre,Mamma Mia!,2008-02-01 14:00:00,Lunt-Fontanne Theatre,New York City,NY,3,1473
Opera,All opera and light opera,Salome,2008-02-15 15:00:00,Detroit Opera House,Detroit,MI,3,159
Pop,All rock and pop music concerts,Cowboy Junkies,2008-01-09 19:30:00,Nassau Veterans Memorial Coliseum,Uniondale,NY,1,246
Pop,All rock and pop music concerts,Wallflowers,2008-02-24 19:30:00,Air Canada Centre,Toronto,ON,2,182
Plays,All non-musical theatre,The Seafarer,2008-02-07 19:00:00,Shubert Theatre,New York City,NY,1,414
Plays,All non-musical theatre,Glengarry Glen Ross,2008-02-19 14:00:00,Hilton Theatre,New York City,NY,2,414
Pop,All rock and pop music concerts,The Kooks,2008-02-04 19:30:00,E.J. Nutter Center,Dayton,OH,2,402
Plays,All non-musical theatre,Spring Awakening,2008-01-28 14:00:00,Palace Theatre,New York City,NY,1,190
Plays,All non-musical theatre,Miss Julie,2008-01-12 19:00:00,Booth Theatre,New York City,NY,2,976
Pop,All rock and pop music concerts,Lenny Kravitz,2008-01-16 15:00:00,Ford Center,Oklahoma City,OK,3,435
Pop,All rock and pop music concerts,Jonas Brothers,2008-02-09 14:30:00,Dolphin Stadium,Miami Gardens,FL,1,329
Plays,All non-musical theatre,King Lear,2008-01-04 15:00:00,Longacre Theatre,New York City,NY,4,668
Pop,All rock and pop music concerts,Yaz,2008-02-05 19:30:00,Jobing.com Arena,Glendale,AZ,1,167
Plays,All non-musical theatre,The 39 Steps,2008-02-15 19:30:00,Broadhurst Theatre,New York City,NY,1,74
Pop,All rock and pop music concerts,Scorpions,2008-01-26 15:00:00,Toyota Center,Houston,TX,1,487
Plays,All non-musical theatre,A Bronx Tale,2008-02-04 19:30:00,Vivian Beaumont Theatre,New York City,NY,2,1334
Plays,All non-musical theatre,A Man For All Seasons,2008-01-31 15:00:00,The Broadway Theatre,New York City,NY,2,3158
Musicals,Musical theatre,Oliver!,2008-01-20 19:00:00,John Golden Theatre,New York City,NY,2,2758
Pop,All rock and pop music concerts,Michael Buble,2008-01-17 19:30:00,Qualcomm Stadium,San Diego,CA,2,448
Pop,All rock and pop music concerts,G. Love and Special Sauce,2008-02-12 19:30:00,General Motors Place,Vancouver,BC,2,622
Pop,All rock and pop music concerts,Hall and Oates,2008-01-05 19:30:00,Philips Arena,Atlanta,GA,1,233
Pop,All rock and pop music concerts,Joe Cocker,2008-02-16 14:00:00,Staples Center,Los Angeles,CA,2,192
Pop,All rock and pop music concerts,Toby Keith,2008-01-25 14:00:00,AT&T Center,San Antonio,TX,1,453
Pop,All rock and pop music concerts,Calibash,2008-02-24 19:00:00,American Airlines Arena,Miami,FL,2,412
Plays,All non-musical theatre,The Tempest,2008-02-25 15:00:00,New Amsterdam Theatre,New York City,NY,2,948
Plays,All non-musical theatre,Spring Awakening,2008-03-02 20:00:00,Gerald Schoenfeld Theatre,New York City,NY,2,592
Pop,All rock and pop music concerts,Rick Springfield,2008-02-07 20:00:00,Oracle Arena,Oakland,CA,2,198
